* Texas Instruments Data Flash File
* File created Sun Jan 30 22:26:15 2022
*
* Device Number 9E34
* Firmware Version 0.01
* Build Number 22
* Order Number 0
*
* bqz Device Number 9e34
* bqz Firmware Version 0.01
* bqz Build Number 22
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Display Units
"Lifetimes","Voltage","Cell 4 Min Voltage","32767","mV"
"Lifetimes","Voltage","Max Delta Cell Voltage","0","mV"
"Lifetimes","Current","Max Charge Current","0","mA"
"Lifetimes","Current","Max Discharge Current","0","mA"
"Lifetimes","Current","Max Avg Dsg Current","0","mA"
"Lifetimes","Current","Max Avg Dsg Power","0","cW"
"Lifetimes","Temperature","Max Temp Cell","-128","°C"
"Lifetimes","Temperature","Min Temp Cell","127","°C"
"Lifetimes","Temperature","Max Delta Cell Temp","0","°C"
"Lifetimes","Temperature","Max Temp Int Sensor","-128","°C"
"Lifetimes","Temperature","Min Temp Int Sensor","127","°C"
"Lifetimes","Temperature","Max Temp Fet","-128","°C"
"Lifetimes","Safety Events","No Of COV Events","0","events"
"Lifetimes","Safety Events","Last COV Event","0","cycles"
"Lifetimes","Safety Events","No Of CUV Events","0","events"
"Lifetimes","Safety Events","Last CUV Event","0","cycles"
"Lifetimes","Safety Events","No Of OCD1 Events","0","events"
"Lifetimes","Safety Events","Last OCD1 Event","0","cycles"
"Lifetimes","Safety Events","No Of OCD2 Events","0","events"
"Lifetimes","Safety Events","Last OCD2 Event","0","cycles"
"Lifetimes","Safety Events","No Of OCC1 Events","0","events"
"Lifetimes","Safety Events","Last OCC1 Event","0","cycles"
"Lifetimes","Safety Events","No Of OCC2 Events","0","events"
"Lifetimes","Safety Events","Last OCC2 Event","0","cycles"
"Lifetimes","Safety Events","No Of AOLD Events","0","events"
"Lifetimes","Safety Events","Last AOLD Event","0","cycles"
"Lifetimes","Safety Events","No Of ASCD Events","0","events"
"Lifetimes","Safety Events","Last ASCD Event","0","cycles"
"Lifetimes","Safety Events","No Of ASCC Events","0","events"
"Lifetimes","Safety Events","Last ASCC Event","0","cycles"
"Lifetimes","Safety Events","No Of OTC Events","0","events"
"Lifetimes","Safety Events","Last OTC Event","0","cycles"
"Lifetimes","Safety Events","No Of OTD Events","0","events"
"Lifetimes","Safety Events","Last OTD Event","0","cycles"
"Lifetimes","Safety Events","No Of OTF Events","0","events"
"Lifetimes","Safety Events","Last OTF Event","0","cycles"
"Lifetimes","Charging Events","No Valid Charge Term","0","events"
"Lifetimes","Charging Events","Last Valid Charge Term","0","cycles"
"Lifetimes","Power Events","No Of Shutdowns","0","events"
"Lifetimes","Cell Balancing","Cb Time Cell 1","0","h"
"Lifetimes","Cell Balancing","Cb Time Cell 2","0","h"
"Lifetimes","Cell Balancing","Cb Time Cell 3","0","h"
"Lifetimes","Cell Balancing","Cb Time Cell 4","0","h"
"Lifetimes","Time","Total Fw Runtime","0","h"
"Lifetimes","Time","Time Spent In UT","0","h"
"Lifetimes","Time","Time Spent In LT","0","h"
"Lifetimes","Time","Time Spent In STL","0","h"
"Lifetimes","Time","Time Spent In RT","0","h"
"Lifetimes","Time","Time Spent In STH","0","h"
"Lifetimes","Time","Time Spent In HT","0","h"
"Lifetimes","Time","Time Spent In OT","0","h"
